artist_id, avg_popularity
49ODZDZgtKFOVfDVG6lB9Y, 3.0
21gzLjCaEf3JzD6ueyY9mK, 3.0
327Dhu39IpcTwRCa2UFJ91, 3.0
1MekNc2s3AXxsPRXS7bJqd, 3.0
1qlWK6O5PTzEwjhi6Vi9Au, 20.0
3KryJK73fb7xcgDE5ygYl4, 20.0
1BuDrHcHR27B14SMQoZsfI, 20.0
6XUcv8AWGcXrkkBAjVoEfj, 20.0
6VU6C2TfI6sM3MKCUlNzGP, 20.0
6fAPKqZPpOP6YBYF90CGfB, 3.0
1s1vRn2kK5JAG9OGVz0LrW, 3.0
3B0odvX0kXqyyOlTRgEZoY, 3.0
3RTOX6HbE8ZSf55PNQU7RF, 3.0
6EeOcURbl8bBYMyw7v9C9d, 5.0
1g3u3T77uZ5d4csJobiwY6, 5.0
1HhC5pA2vgu1qPSlIxcf96, 5.0
5efQPFN5QREGKYSqrsPByz, 2.3333333333333335
0uTT4ggJfymoPNiTalIUoc, 2.3333333333333335
7xGL2QKXwr2loe1H6copMQ, 2.3333333333333335
4QbkscNyCmrpQeJYEnHRqh, 2.0
4I7KjswXljdE5Zjj8fOfyH, 19.0
6coEc4FmnXWeqJEtnDPdHW, 19.0
3czu24DmTzTgrtkrt27ojM, 19.0
7fC3Jj6wa4puH3crRKurqX, 19.0
6ekFrKKYymzY7EYOHcVMLi, 19.0
4yoB2V5j14QmP6ckPvK1Zx, 12.0
6ibT5VPF5MWwqaVdfT0YbN, 12.0
1USU96NwbuQsxjE9mzNDlJ, 12.0
3oTjaYrHiWXzx7Rbd2NplA, 12.0
43miFDLmHqWC3Lgm7SCtuY, 12.0
4YeYUqJUfaNIBoZfpe3a75, 1.0
6ciHx71kMXxOgDu2LngQFV, 1.0
5gDdD56oWkkFVvcBYDNGcx, 23.0
1UhHSZBat2gRZ8cbX1fCgr, 27.0
3h7scmSeDQAXA1aR4PDe8e, 14.0
38tQ6hXj0f0VSVrzDa04sZ, 14.0
1NPOQZAgGUNEAIMViQxFjk, 11.0
7f7HXCOcBxJWsNVEsvUuwi, 11.0
