popularity,id,1_n,2_n
47,2yzaWNFV3cxmcRZtwtr5WC,18.95455,31.03085
4,0Mj0iAvXnfnid2V7ATQKa1,23.66667,30.52301
15,2e5Czu1HGML44EmIuNsA4o,40.00000,15.00000
52,0r3oYkStfoV3sVeoQ1vmtw,59.00000,41.57143
46,0fVqst4UD6o7SKW6SsWPfU,38.33333,43.17391
40,0YVFdCm1S3ikQU0yl110lu,30.00000,40.00000
8,55pFfu7SvF4jyXG9Z3oTYb,16.00000,17.71429
3,3VTSXLbCnsCcIkiDOMcgFC,6.00000,3.00000
13,797yYXSM6wVPRRf3DPpE2s,26.00000,31.66667
23,2LZMzG3MBHagZYIJa31mmH,26.00000,23.00000
71,1mBydYMVBECdDmMfE2sEUO,63.00000,48.15574
21,5pgrj0hsfBbs7AIl9ODNYj,8.66667,20.77778
35,7fjYD9KftETHYcHFM5Htf3,34.00000,35.00000
47,2jPZMiD3iOuqGD9VLVapNv,42.00000,48.95000
17,3BWi20vO0Ymeh6exmnqQqi,14.00000,17.00000
12,4ohnpDk5bUrW0c2YzdkAOa,27.50000,19.75000
23,277HmHf9PVS10p9eaIcAQP,13.66667,21.20000
8,3zGCBuYkuUW3hXt1xET2hg,30.50000,24.84615
23,17jKRJyvcPLKu8GrxAwff1,17.00000,23.00000
24,3qWmqfQVlXakCydTL7qvvz,28.96000,27.09774
44,1IlwO4YlID1tcb5QgWOiQu,38.50000,44.00000
19,50UkLvFAYKvBNUR1Q00ifv,20.33333,19.88889
32,5BWEzcCkhlDK9MLrw7sDKu,35.00000,32.00000
13,2GhcXih0NsKEQGdIAWPX3W,17.00000,16.18182
8,53u4pioc1ljUggh74nshVs,11.00000,13.50000
52,0LweECx5LKm6I3gIcWMdpB,19.00000,52.00000
22,2fNXM3eA6CBwZ0gb1O4Zvz,21.00000,22.00000
28,3fCPZdxUGzzLDR3ruFqGMD,17.05882,19.22449
26,78srM1kY6bz8kbJOQwhWiP,11.00000,19.14286
1,6ciHx71kMXxOgDu2LngQFV,1.00000,1.00000
2,6tcIjUuGpb4oPfgxZm9NWs,1.00000,1.25000
23,6Kf7G48f7VSXuSTGyv9hTf,32.00000,30.83333
4,3mDEy1yjmoxh9gMTvIN8KJ,4.00000,4.00000
15,74Ne7ChTgnu1sHY3pmTzui,15.00000,15.00000
31,1iOy13uUkBOBClHwJ5eiSM,37.00000,31.00000
44,5HSROvpnFBzRENwjZ30RNx,48.50000,48.05288
47,5cvgau68BWnLZcjeX7Pdf3,49.00000,38.66667
31,3xFeX3DSIXjXi4BU9syHLb,17.00000,31.00000
12,01yRdrZpQs7lFhPtSI0ccb,18.00000,18.25000
42,5VKmfBc2pR80IxYoC1gHyH,29.00000,27.25000
43,2O76CmUXGThMPPImBOnbUA,35.25000,38.07692
1,3NCaK5nOfUW8vnUbNcoV0x,4.00000,1.00000
20,0EX6qdKwwNO9TN24DvRHwG,5.00000,20.00000
14,4hEpnqemrERKCUW9ONO4Hh,16.00000,15.00000
49,3YOvdmjSEwOqRAJ0ttfwCx,35.00000,45.42857
47,7mUQPmZ6OzwtJEEXDOqyOY,51.00000,43.16667
52,3VPxstOu7nMAaOrD3hhUR1,31.50000,44.71429
37,39ruRxrA8sCKDTozbbmo7o,44.50000,33.66667
18,0mBFDOiCgOvcAd12o86GlM,14.50000,18.00000
27,7hWRneMDJulC1IMfHD1gt7,16.25000,21.10000
12,4znUD8NOBmxWoHUc6ILR9v,18.00000,12.00000
1,64ey37ucWRcyoZSSwb49i5,34.00000,15.00000
